Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-09-13,1,1,21.019,KAN,SDG,False,1,0,0.00,0,4,2,9,4.50,0,50.0%,2.25,0,0,,0,3,100,33.33,1,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,True,21,14,Dexter McCluster
2010,2010-09-19,2,2,21.025,KAN,CLE,False,1,3,3.00,0,3,0,0,,0,0.0%,0.00,2,39,19.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,16,14,Dexter McCluster
2010,2010-09-26,3,3,21.032,KAN,SFO,True,2,-1,-0.50,0,3,3,69,23.00,1,100.0%,23.00,1,17,17.00,0,3,42,14.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,31,10,Dexter McCluster
2010,2010-10-10,4,5,21.046,KAN,IND,False,1,3,3.00,0,4,2,15,7.50,0,50.0%,3.75,6,141,23.50,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,9,19,Dexter McCluster
2010,2010-10-17,5,6,21.053,KAN,HOU,True,2,27,13.50,0,4,3,13,4.33,0,75.0%,3.25,1,18,18.00,0,1,4,4.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,31,35,Dexter McCluster
2010,2010-10-24,6,7,21.060,KAN,JAX,True,4,28,7.00,0,5,5,41,8.20,0,100.0%,8.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,42,20,Dexter McCluster
2010,2010-10-31,7,8,,KAN,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,13,10,Dexter McCluster
2010,2010-11-07,8,9,,KAN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,20,23,Dexter McCluster
2010,2010-11-14,9,10,,KAN,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,29,49,Dexter McCluster
2010,2010-11-21,10,11,,KAN,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,13,Dexter McCluster
2010,2010-11-28,11,12,,KAN,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,42,24,Dexter McCluster
2010,2010-12-05,12,13,21.102,KAN,DEN,True,5,11,2.20,0,3,2,25,12.50,0,66.7%,8.33,3,60,20.00,0,2,6,3.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,True,10,6,Dexter McCluster
2010,2010-12-12,13,14,21.109,KAN,SDG,True,0,0,,0,0,0,0,,0,0.0%,,3,62,20.67,0,1,11,11.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,0,31,Dexter McCluster
2010,2010-12-19,14,15,21.116,KAN,STL,False,1,-4,-4.00,0,4,1,7,7.00,0,25.0%,1.75,4,62,15.50,0,3,39,13.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,13,Dexter McCluster
2010,2010-12-26,15,16,21.123,KAN,TEN,True,1,4,4.00,0,2,2,15,7.50,0,100.0%,7.50,3,50,16.67,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,14,Dexter McCluster
2010,2011-01-02,16,17,21.130,KAN,OAK,True,0,0,,0,7,1,15,15.00,0,14.3%,2.14,3,78,26.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,31,Dexter McCluster
2011,2011-09-11,1,1,22.017,KAN,BUF,False,4,42,10.50,0,5,5,25,5.00,0,100.0%,5.00,4,92,23.00,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,7,41,Dexter McCluster
2011,2011-09-18,2,2,22.024,KAN,DET,True,8,51,6.38,0,5,4,-2,-0.50,0,80.0%,-0.40,3,69,23.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,False,3,48,Dexter McCluster
2011,2011-09-25,3,3,22.031,KAN,SDG,False,9,45,5.00,0,6,5,17,3.40,0,83.3%,2.83,1,29,29.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,20,Dexter McCluster
2011,2011-10-02,4,4,22.038,KAN,MIN,True,7,26,3.71,0,4,3,12,4.00,0,75.0%,3.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,22,17,Dexter McCluster
2011,2011-10-09,5,5,22.045,KAN,IND,False,4,8,2.00,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,28,24,Dexter McCluster
2011,2011-10-23,6,7,22.059,KAN,OAK,False,10,38,3.80,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,28,0,Dexter McCluster
2011,2011-10-31,7,8,22.067,KAN,SDG,False,6,0,0.00,0,3,3,28,9.33,0,100.0%,9.33,5,137,27.40,0,1,6,6.00,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,True,23,20,Dexter McCluster
2011,2011-11-06,8,9,22.073,KAN,MIA,False,7,36,5.14,0,4,1,8,8.00,0,25.0%,2.00,3,53,17.67,0,2,30,15.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,3,31,Dexter McCluster
2011,2011-11-13,9,10,22.080,KAN,DEN,False,8,45,5.63,0,8,6,48,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,17,Dexter McCluster
2011,2011-11-21,10,11,22.088,KAN,NWE,True,9,45,5.00,0,1,1,3,3.00,0,100.0%,3.00,1,18,18.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,3,34,Dexter McCluster
2011,2011-11-27,11,12,22.094,KAN,PIT,False,9,28,3.11,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,9,13,Dexter McCluster
2011,2011-12-04,12,13,22.101,KAN,CHI,False,9,61,6.78,0,5,4,46,11.50,1,80.0%,9.20,1,23,23.00,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,10,3,Dexter McCluster
2011,2011-12-11,13,14,22.108,KAN,NYJ,True,4,1,0.25,0,2,0,0,,0,0.0%,0.00,5,89,17.80,0,1,4,4.00,0,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,False,10,37,Dexter McCluster
2011,2011-12-18,14,15,22.115,KAN,GNB,False,5,14,2.80,0,2,2,11,5.50,0,100.0%,5.50,1,22,22.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,19,14,Dexter McCluster
2011,2011-12-24,15,16,22.121,KAN,OAK,False,3,15,5.00,0,7,5,89,17.80,0,71.4%,12.71,1,25,25.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,16,Dexter McCluster
2011,2012-01-01,16,17,22.129,KAN,DEN,False,12,61,5.08,1,6,3,25,8.33,0,50.0%,4.17,0,0,,0,1,18,18.00,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,7,3,Dexter McCluster
2012,2012-09-09,1,1,23.015,KAN,ATL,True,0,0,,0,10,6,82,13.67,0,60.0%,8.20,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,83%,0,0%,0,0%,False,False,24,40,Dexter McCluster
2012,2012-09-16,2,2,23.022,KAN,BUF,False,0,0,,0,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,44%,0,0%,0,0%,True,False,17,35,Dexter McCluster
2012,2012-09-23,3,3,23.029,KAN,NOR,False,1,5,5.00,0,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,23,24%,0,0%,0,0%,True,True,27,24,Dexter McCluster
2012,2012-09-30,4,4,23.036,KAN,SDG,True,0,0,,0,4,2,6,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,64%,0,0%,0,0%,False,False,20,37,Dexter McCluster
2012,2012-10-07,5,5,23.043,KAN,BAL,False,,,,,0,,,,,0.0%,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,31,44%,0,0%,0,0%,False,False,6,9,Dexter McCluster
2012,2012-10-14,6,6,23.050,KAN,TAM,True,0,0,,0,8,6,39,6.50,0,75.0%,4.88,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,54%,0,0%,0,0%,True,False,10,38,Dexter McCluster
2012,2012-10-28,7,8,23.064,KAN,OAK,True,2,15,7.50,0,8,6,54,9.00,1,75.0%,6.75,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,47,76%,0,0%,0,0%,False,False,16,26,Dexter McCluster
2012,2012-11-01,8,9,23.068,KAN,SDG,False,4,17,4.25,0,6,2,17,8.50,0,33.3%,2.83,0,0,,0,1,0,0.00,0,,0,0,0.0,1,0,1,0,0,1,1,0,0,0,0,48,77%,0,0%,1,4%,True,False,13,31,Dexter McCluster
2012,2012-11-12,9,10,23.079,KAN,PIT,False,0,0,,0,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,45%,0,0%,0,0%,True,False,13,16,Dexter McCluster
2012,2012-11-18,10,11,23.085,KAN,CIN,True,0,0,,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,80%,0,0%,0,0%,False,False,6,28,Dexter McCluster
2012,2012-11-25,11,12,23.092,KAN,DEN,False,2,23,11.50,0,4,4,21,5.25,0,100.0%,5.25,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,33%,0,0%,0,0%,False,False,9,17,Dexter McCluster
2012,2012-12-02,12,13,23.099,KAN,CAR,False,1,0,0.00,0,2,2,16,8.00,0,100.0%,8.00,0,0,,0,1,6,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,30%,0,0%,3,12%,False,True,27,21,Dexter McCluster
2012,2012-12-09,13,14,23.106,KAN,CLE,False,1,0,0.00,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,59%,0,0%,0,0%,True,False,7,30,Dexter McCluster
2012,2012-12-16,14,15,23.113,KAN,OAK,False,0,0,,0,10,7,59,8.43,0,70.0%,5.90,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,73%,0,0%,0,0%,True,False,0,15,Dexter McCluster
2012,2012-12-23,15,16,23.120,KAN,IND,False,1,10,10.00,0,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,51%,0,0%,0,0%,False,False,13,20,Dexter McCluster
2012,2012-12-30,16,17,23.127,KAN,DEN,True,0,0,,0,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,58%,0,0%,0,0%,True,False,3,38,Dexter McCluster
2013,2013-09-08,1,1,24.014,KAN,JAX,False,0,0,,0,5,3,43,14.33,0,60.0%,8.60,0,0,,0,7,80,11.43,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,33,53%,0,0%,11,34%,True,True,28,2,Dexter McCluster
2013,2013-09-15,2,2,24.021,KAN,DAL,True,0,0,,0,4,2,14,7.00,0,50.0%,3.50,0,0,,0,3,41,13.67,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,58%,0,0%,4,14%,False,True,17,16,Dexter McCluster
2013,2013-09-19,3,3,24.025,KAN,PHI,True,1,-3,-3.00,0,4,1,1,1.00,0,25.0%,0.25,1,3,3.00,0,2,12,6.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,54%,0,0%,6,19%,True,True,26,16,Dexter McCluster
2013,2013-09-29,4,4,24.035,KAN,NYG,True,0,0,,0,5,5,48,9.60,0,100.0%,9.60,0,0,,0,4,113,28.25,1,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,42,56%,0,0%,8,28%,False,True,31,7,Dexter McCluster
2013,2013-10-06,5,5,24.042,KAN,TEN,False,0,0,,0,3,0,0,,0,0.0%,0.00,0,0,,0,5,39,7.80,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,46,66%,0,0%,6,18%,True,True,26,17,Dexter McCluster
2013,2013-10-13,6,6,24.049,KAN,OAK,False,1,4,4.00,0,5,1,10,10.00,0,20.0%,2.00,0,0,,0,6,32,5.33,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,42,67%,0,0%,8,28%,False,True,24,7,Dexter McCluster
2013,2013-10-20,7,7,24.056,KAN,HOU,False,2,4,2.00,0,5,4,70,17.50,0,80.0%,14.00,0,0,,0,4,32,8.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,38%,0,0%,4,16%,False,True,17,16,Dexter McCluster
2013,2013-10-27,8,8,24.063,KAN,CLE,False,1,5,5.00,0,10,7,67,9.57,1,70.0%,6.70,0,0,,0,5,38,7.60,0,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,40,55%,0,0%,6,20%,False,True,23,17,Dexter McCluster
2013,2013-11-03,9,9,24.070,KAN,BUF,True,1,-4,-4.00,0,4,2,9,4.50,0,50.0%,2.25,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,52%,0,0%,3,11%,True,True,23,13,Dexter McCluster
