Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2010-01-03,16,17,,DET,CHI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,23,37,Brandon Pettigrew
2010,2010-09-12,1,1,25.201,DET,CHI,True,2,1,6,6.00,0,50.0%,3.00,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,19,Brandon Pettigrew
2010,2010-09-19,2,2,25.208,DET,PHI,True,8,7,108,15.43,0,87.5%,13.50,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,32,35,Brandon Pettigrew
2010,2010-09-26,3,3,25.215,DET,MIN,True,9,6,44,7.33,0,66.7%,4.89,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,24,Brandon Pettigrew
2010,2010-10-03,4,4,25.222,DET,GNB,True,11,8,91,11.38,0,72.7%,8.27,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,26,28,Brandon Pettigrew
2010,2010-10-10,5,5,25.229,DET,STL,True,5,4,26,6.50,1,80.0%,5.20,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,44,6,Brandon Pettigrew
2010,2010-10-17,6,6,25.236,DET,NYG,True,12,7,61,8.71,0,58.3%,5.08,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,28,Brandon Pettigrew
2010,2010-10-31,7,8,25.250,DET,WAS,True,5,2,8,4.00,1,40.0%,1.60,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,37,25,Brandon Pettigrew
2010,2010-11-07,8,9,25.257,DET,NYJ,True,5,3,18,6.00,1,60.0%,3.60,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,23,Brandon Pettigrew
2010,2010-11-14,9,10,25.264,DET,BUF,True,8,4,50,12.50,0,50.0%,6.25,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,12,14,Brandon Pettigrew
2010,2010-11-21,10,11,25.271,DET,DAL,True,9,8,75,9.38,0,88.9%,8.33,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,19,35,Brandon Pettigrew
2010,2010-11-25,11,12,25.275,DET,NWE,True,7,5,67,13.40,0,71.4%,9.57,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,45,Brandon Pettigrew
2010,2010-12-05,12,13,25.285,DET,CHI,True,9,5,36,7.20,0,55.6%,4.00,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,24,Brandon Pettigrew
2010,2010-12-12,13,14,25.292,DET,GNB,True,3,2,14,7.00,0,66.7%,4.67,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,7,3,Brandon Pettigrew
2010,2010-12-19,14,15,25.299,DET,TAM,True,3,2,25,12.50,0,66.7%,8.33,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,20,Brandon Pettigrew
2010,2010-12-26,15,16,25.306,DET,MIA,True,9,4,74,18.50,1,44.4%,8.22,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,34,27,Brandon Pettigrew
2010,2011-01-02,16,17,25.313,DET,MIN,True,6,3,19,6.33,0,50.0%,3.17,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,13,Brandon Pettigrew
2011,2011-09-11,1,1,26.200,DET,TAM,True,6,4,57,14.25,0,66.7%,9.50,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,27,20,Brandon Pettigrew
