Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2008,2008-12-07,13,14,26.204,NWE,@,SEA,W 24-21,True,26,44,59.09,268,1,0,84.3,3,8,6.09,6.55,7,14,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2008,2008-12-14,14,15,26.211,NWE,@,OAK,W 49-26,True,18,30,60.00,218,4,1,108.1,3,8,7.27,8.43,6,18,3.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2008,2008-12-21,15,16,26.218,NWE,,ARI,W 47-7,True,20,36,55.56,345,3,0,116.1,1,12,9.58,11.25,2,19,9.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2008,2008-12-28,16,17,26.225,NWE,@,BUF,W 13-0,True,6,8,75.00,78,0,0,105.2,1,5,9.75,9.75,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,1,57,57.00,0,,,,,,,True,Matt Cassel
2009,2009-09-13,1,1,,KAN,@,BAL,L 24-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Cassel
2009,2009-09-20,2,2,27.126,KAN,,OAK,L 10-13,True,24,39,61.54,241,1,2,66.3,2,5,6.18,4.38,5,34,6.80,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-09-27,3,3,27.133,KAN,@,PHI,L 14-34,True,14,18,77.78,90,2,0,124.5,3,19,5.00,7.22,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-4,0,0,0,,0,,,,,,,True,Matt Cassel
2009,2009-10-04,4,4,27.140,KAN,,NYG,L 16-27,True,15,32,46.88,127,2,0,78.5,5,39,3.97,5.22,4,25,6.25,0,0,0,0,,0,0.0%,,0,0,3,0,0,1,-3,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-10-11,5,5,27.147,KAN,,DAL,L 20-26,True,23,41,56.10,253,2,0,90.8,4,21,6.17,7.15,4,28,7.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-10-18,6,6,27.154,KAN,@,WAS,W 14-6,True,16,31,51.61,186,0,0,70.1,5,28,6.00,6.00,6,16,2.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2009,2009-10-25,7,7,27.161,KAN,,SDG,L 7-37,True,10,25,40.00,97,1,3,25.3,5,18,3.88,-0.72,5,24,4.80,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-11-08,8,9,27.175,KAN,@,JAX,L 21-24,True,23,39,58.97,262,2,0,96.3,3,21,6.72,7.74,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-4,0,0,0,,0,,,,,,,True,Matt Cassel
2009,2009-11-15,9,10,27.182,KAN,@,OAK,W 16-10,True,19,34,55.88,216,0,1,62.9,2,10,6.35,5.03,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,-3,0,0,0,,0,,,,,,,True,Matt Cassel
2009,2009-11-22,10,11,27.189,KAN,,PIT,W 27-24,True,15,30,50.00,248,2,0,100.4,5,34,8.27,9.60,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-11-29,11,12,27.196,KAN,@,SDG,L 14-43,True,19,31,61.29,178,1,1,74.4,1,11,5.74,4.94,6,22,3.67,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-11,0,0,0,,0,,,,,,,True,Matt Cassel
2009,2009-12-06,12,13,27.203,KAN,,DEN,L 13-44,True,10,29,34.48,84,0,2,14.6,2,6,2.90,-0.21,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-3,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-12-13,13,14,27.210,KAN,,BUF,L 10-16,True,26,43,60.47,224,0,4,35.4,3,15,5.21,1.02,2,-6,-3.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-12-20,14,15,27.217,KAN,,CLE,L 34-41,True,22,40,55.00,331,2,0,99.1,1,8,8.28,9.28,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2009,2009-12-27,15,16,27.224,KAN,@,CIN,L 10-17,True,22,37,59.46,180,1,2,58.4,1,8,4.86,2.97,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2009,2010-01-03,16,17,27.231,KAN,@,DEN,W 44-24,True,13,24,54.17,207,0,1,65.8,0,0,8.63,6.75,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,1,0,0,1,-1,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-09-13,1,1,28.119,KAN,,SDG,W 21-14,True,10,22,45.45,68,1,0,68.0,1,6,3.09,4.00,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2010,2010-09-19,2,2,28.125,KAN,@,CLE,W 16-14,True,16,28,57.14,176,0,2,46.1,1,4,6.29,3.07,4,5,1.25,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-09-26,3,3,28.132,KAN,,SFO,W 31-10,True,16,27,59.26,250,3,1,111.7,0,0,9.26,9.81,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2010,2010-10-10,4,5,28.146,KAN,@,IND,L 9-19,True,16,29,55.17,156,0,0,70.5,1,8,5.38,5.38,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-10-17,5,6,28.153,KAN,@,HOU,L 31-35,True,20,29,68.97,201,3,0,122.9,1,12,6.93,9.00,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-10-24,6,7,28.160,KAN,,JAX,W 42-20,True,13,18,72.22,193,2,0,144.0,1,3,10.72,12.94,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2010,2010-10-31,7,8,28.167,KAN,,BUF,W 13-10,True,14,26,53.85,152,1,0,84.1,3,12,5.85,6.62,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2010,2010-11-07,8,9,28.174,KAN,@,OAK,L 20-23,True,20,35,57.14,216,2,1,82.6,3,16,6.17,6.03,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-11-14,9,10,28.181,KAN,@,DEN,L 29-49,True,33,53,62.26,469,4,0,116.0,4,36,8.85,10.36,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-11-21,10,11,28.188,KAN,,ARI,W 31-13,True,15,24,62.50,193,2,0,115.5,0,0,8.04,9.71,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2010,2010-11-28,11,12,28.195,KAN,@,SEA,W 42-24,True,22,32,68.75,233,4,0,129.3,0,0,7.28,9.78,5,28,5.60,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-12-05,12,13,28.202,KAN,,DEN,W 10-6,True,17,31,54.84,196,1,0,84.9,2,22,6.32,6.97,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2010,2010-12-12,13,14,,KAN,@,SDG,L 0-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Cassel
2010,2010-12-19,14,15,28.216,KAN,@,STL,W 27-13,True,15,29,51.72,184,1,1,68.8,3,11,6.34,5.48,6,17,2.83,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2010,2010-12-26,15,16,28.223,KAN,,TEN,W 34-14,True,24,34,70.59,314,3,0,128.8,1,6,9.24,11.00,3,20,6.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-2,0,0,0,,0,,,,,,,False,Matt Cassel
2010,2011-01-02,16,17,28.230,KAN,,OAK,L 10-31,True,11,33,33.33,115,0,2,19.1,5,46,3.48,0.76,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2011,2011-09-11,1,1,29.117,KAN,,BUF,L 7-41,True,22,36,61.11,119,1,1,64.5,2,14,3.31,2.61,0,0,,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2011,2011-09-18,2,2,29.124,KAN,@,DET,L 3-48,True,15,22,68.18,133,0,3,44.5,2,17,6.05,-0.09,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2011,2011-09-25,3,3,29.131,KAN,@,SDG,L 17-20,True,17,24,70.83,176,2,1,102.1,1,5,7.33,7.13,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2011,2011-10-02,4,4,29.138,KAN,,MIN,W 22-17,True,18,29,62.07,260,1,0,102.7,3,13,8.97,9.66,4,20,5.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2011,2011-10-09,5,5,29.145,KAN,@,IND,W 28-24,True,21,29,72.41,257,4,0,138.9,2,15,8.86,11.62,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2011,2011-10-23,6,7,29.159,KAN,@,OAK,W 28-0,True,15,30,50.00,161,0,2,38.3,0,0,5.37,2.37,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,True,Matt Cassel
2011,2011-10-31,7,8,29.167,KAN,,SDG,W 23-20,True,19,32,59.38,261,1,2,69.9,3,14,8.16,5.97,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2011,2011-11-06,8,9,29.173,KAN,,MIA,L 3-31,True,20,39,51.28,253,0,0,71.8,5,26,6.49,6.49,9,38,4.22,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-3,0,0,0,,0,,,,,,,False,Matt Cassel
2011,2011-11-13,9,10,29.180,KAN,,DEN,L 10-17,True,13,28,46.43,93,1,0,66.5,4,16,3.32,4.04,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,False,Matt Cassel
2011,2011-11-21,10,11,,KAN,@,NWE,L 3-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Matt Cassel
2011,2011-11-27,11,12,,KAN,,PIT,L 9-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Matt Cassel
2011,2011-12-04,12,13,,KAN,@,CHI,W 10-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Matt Cassel
2011,2011-12-11,13,14,,KAN,@,NYJ,L 10-37,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Matt Cassel
2011,2011-12-18,14,15,,KAN,,GNB,W 19-14,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Matt Cassel
2011,2011-12-24,15,16,,KAN,,OAK,L 13-16,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Matt Cassel
2011,2012-01-01,16,17,,KAN,@,DEN,W 7-3,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Matt Cassel
2012,2012-09-09,1,1,30.115,KAN,,ATL,L 24-40,True,21,33,63.64,258,1,2,72.5,3,17,7.82,5.70,4,20,5.00,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,0,0,,0,69,100%,0,0%,0,0%,False,Matt Cassel
2012,2012-09-16,2,2,30.122,KAN,@,BUF,L 17-35,True,23,42,54.76,301,2,1,83.5,5,29,7.17,7.05,2,25,12.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,73,100%,0,0%,0,0%,True,Matt Cassel
2012,2012-09-23,3,3,30.129,KAN,@,NOR,W 27-24,True,26,44,59.09,248,0,1,65.3,3,11,5.64,4.61,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,94,100%,0,0%,0,0%,True,Matt Cassel
2012,2012-09-30,4,4,30.136,KAN,,SDG,L 20-37,True,24,42,57.14,251,2,3,60.7,2,17,5.98,3.71,0,0,,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,0,0,,0,72,100%,0,0%,0,0%,False,Matt Cassel
2012,2012-10-07,5,5,30.143,KAN,,BAL,L 6-9,True,9,15,60.00,92,0,2,38.1,0,0,6.13,0.13,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,-6,0,0,0,,0,62,87%,0,0%,0,0%,False,Matt Cassel
2012,2012-10-14,6,6,,KAN,@,TAM,L 10-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Cassel
2012,2012-10-28,7,8,30.164,KAN,,OAK,L 16-26,False,20,30,66.67,218,1,1,85.1,2,15,7.27,6.43,7,35,5.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,-2,0,0,0,,0,51,82%,0,0%,0,0%,False,Matt Cassel
2012,2012-11-01,8,9,30.168,KAN,@,SDG,L 13-31,True,19,29,65.52,181,0,1,68.3,1,5,6.24,4.69,6,37,6.17,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,62,100%,0,0%,0,0%,True,Matt Cassel
2012,2012-11-12,9,10,30.179,KAN,@,PIT,L 13-16,True,11,26,42.31,154,0,1,46.0,2,6,5.92,4.19,2,12,6.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0,,0,64,100%,0,0%,0,0%,True,Matt Cassel
2012,2012-11-18,10,11,30.185,KAN,,CIN,L 6-28,True,8,16,50.00,93,0,0,68.0,1,1,5.81,5.81,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,31,51%,0,0%,0,0%,False,Matt Cassel
2012,2012-11-25,11,12,,KAN,,DEN,L 9-17,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Cassel
2012,2012-12-02,12,13,,KAN,,CAR,W 27-21,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Cassel
2012,2012-12-09,13,14,,KAN,@,CLE,L 7-30,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Cassel
2012,2012-12-16,14,15,,KAN,@,OAK,L 0-15,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Cassel
2012,2012-12-23,15,16,,KAN,,IND,L 13-20,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Cassel
2012,2012-12-30,16,17,,KAN,@,DEN,L 3-38,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Cassel
2013,2013-09-08,1,1,,MIN,@,DET,L 24-34,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Cassel
2013,2013-09-15,2,2,,MIN,@,CHI,L 30-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Matt Cassel
2013,2013-09-22,3,3,,MIN,,CLE,L 27-31,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Matt Cassel
2013,2013-09-29,4,4,31.135,MIN,,PIT,W 34-27,True,16,25,64.00,248,2,0,123.4,1,0,9.92,11.52,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,52,100%,0,0%,0,0%,False,Matt Cassel
2013,2013-10-13,5,6,31.149,MIN,,CAR,L 10-35,True,32,44,72.73,241,1,2,74.1,3,26,5.48,3.89,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0,,0,62,100%,0,0%,0,0%,False,Matt Cassel
2013,2013-10-21,6,7,,MIN,@,NYG,L 7-23,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Matt Cassel
